30.10.2024, 16:12
Статистика проекта

                    	Сегменты	 Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	   66147	668095	               4052836	              4654974	              122	
Осталось:           	   25632	381996	               2133634	              2490787	               83	
Уникальные:         	   54088	584871	               3529683	              4060759	              122	
Осталось уникальных:	   22013	336937	               1878942	              2194414	               83	


Статистика по отдельным файлам:

Имя файла                                                               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (с пробелами)	Осталось символов (с пробелами)	Уникальные символы (с пробелами)	Осталось уникальных символов (с пробелами)	
localisation/russian/replace/acot_marauder_l_russian.yml                	             85	                70	                 77	                           66	       871	          824	             790	                     754	                         4478	                            4195	                             4040	                                       3818	                        5238	                           4923	                            4732	                                      4485	
localisation/russian/replace/acot_override_l_russian.yml                	            231	                68	                177	                           45	      1985	          803	            1433	                     597	                        11242	                            4221	                             8223	                                       3113	                       12993	                           4954	                            9476	                                      3663	
localisation/russian/replace/defender_of_the_galaxy_l_russian.yml       	              4	                 2	                  4	                            2	        35	           26	              35	                      26	                          274	                             139	                              274	                                        139	                         304	                            163	                             304	                                       163	
localisation/russian/sbtg_crisis_event_l_russian.yml                    	           1180	               886	               1085	                          832	     12798	        10609	           12272	                   10207	                        62156	                           51305	                            59447	                                      49362	                       73782	                          61027	                           70628	                                     58730	
localisation/russian/sbtg_flowing_technology_l_russian.yml              	            934	               440	                748	                          367	      8284	         5810	            6959	                    4847	                        44200	                           29306	                            36791	                                      24340	                       51538	                          34667	                           42998	                                     28812	
localisation/russian/sbtg_gate_event_l_russian.yml                      	           1075	               906	                878	                          748	     12423	        11205	           10483	                    9437	                        62965	                           57096	                            53142	                                      48106	                       74147	                          67232	                           62598	                                     56652	
localisation/russian/sbtg_menu_l_russian.yml                            	             53	                27	                 52	                           27	       470	          278	             466	                     278	                         2754	                            1597	                             2735	                                       1597	                        3167	                           1840	                            3145	                                      1840	
localisation/russian/sbtg_omega_technology_l_russian.yml                	            374	               140	                213	                           63	      3747	         1774	            2108	                     825	                        21780	                            9727	                            12426	                                       4617	                       25153	                          11360	                           14320	                                      5378	
localisation/russian/sbtg_original_phrases_l_russian.yml                	            437	               309	                419	                          302	      3868	         2950	            3840	                    2939	                        18203	                           13611	                            18007	                                      13534	                       21603	                          16233	                           21395	                                     16151	
localisation/russian/special_project_extended_l_russian.yml             	           1951	              1890	               1848	                         1792	     26095	        25817	           24961	                   24693	                       154526	                          151828	                           146466	                                     143889	                      179405	                         176512	                          170216	                                    167445	
